timestamp,close,prediccion_precio_siguiente
2026-05-11 04:00:00+00:00,598.86,600.4223478953888
2026-05-12 04:00:00+00:00,603.0,604.0460773596853
2026-05-13 04:00:00+00:00,616.63,615.9899971145344
2026-05-14 04:00:00+00:00,618.43,619.4173465318041
2026-05-15 04:00:00+00:00,614.23,614.9610913378488
2026-05-18 04:00:00+00:00,611.21,612.0239237153269
2026-05-19 04:00:00+00:00,602.61,603.6276086860973
2026-05-20 04:00:00+00:00,605.06,606.1543949129154
2026-05-21 04:00:00+00:00,607.38,607.9468970077496
2026-05-22 04:00:00+00:00,610.26,611.4354611350627
2026-05-26 04:00:00+00:00,612.34,613.2828509791248
2026-05-27 04:00:00+00:00,635.255,633.3030844477865
2026-05-28 04:00:00+00:00,635.29,635.4883537376763
2026-05-29 04:00:00+00:00,632.51,632.9941255110073
2026-06-01 04:00:00+00:00,600.47,599.7035069264268
2026-06-02 04:00:00+00:00,597.63,598.9968918625187
2026-06-03 04:00:00+00:00,622.98,622.1477488572275
2026-06-04 04:00:00+00:00,627.57,627.4054997893422
2026-06-05 04:00:00+00:00,593.0,591.4899304539099
2026-06-08 04:00:00+00:00,585.39,586.8017866327175
2026-06-09 04:00:00+00:00,584.59,585.3891234344616
2026-06-10 04:00:00+00:00,570.98,571.781298539334
2026-06-11 04:00:00+00:00,568.43,569.5043074844953
2026-06-12 04:00:00+00:00,566.98,567.9573213455205
2026-06-15 04:00:00+00:00,593.48,592.5326068577315
2026-06-16 04:00:00+00:00,600.21,600.3511938577881
2026-06-17 04:00:00+00:00,567.58,567.3557508508216
2026-06-18 04:00:00+00:00,577.22,577.0694184925248
2026-06-22 04:00:00+00:00,563.85,564.8210065504954
2026-06-23 04:00:00+00:00,562.2,563.4024962420218
2026-06-24 04:00:00+00:00,557.67,558.7208948237658
2026-06-25 04:00:00+00:00,542.87,543.9256554882918
2026-06-26 04:00:00+00:00,550.25,550.5868172094811
2026-06-29 04:00:00+00:00,562.6,562.9833018646763
2026-06-30 04:00:00+00:00,563.29,563.5184868870565
